IMEI,CO2,温度,湿度,取得時間
357864098056037,527,11.7,41.4,2022-01-01 00:03
357864098056037,529,11.6,41.5,2022-01-01 00:08
357864098056037,529,11.6,41.4,2022-01-01 00:13
357864098056037,530,11.6,41.5,2022-01-01 00:18
357864098056037,531,11.7,41.4,2022-01-01 00:23
357864098056037,531,11.7,41.5,2022-01-01 00:28
357864098056037,531,11.6,41.5,2022-01-01 00:33
357864098056037,530,11.6,41.5,2022-01-01 00:38
357864098056037,529,11.6,41.6,2022-01-01 00:43
357864098056037,530,11.6,41.6,2022-01-01 00:48
357864098056037,530,11.6,41.6,2022-01-01 00:53
357864098056037,531,11.6,41.6,2022-01-01 00:58
357864098056037,530,11.6,41.6,2022-01-01 01:03
357864098056037,530,11.6,41.6,2022-01-01 01:08
357864098056037,530,11.6,41.5,2022-01-01 01:13
357864098056037,531,11.6,41.6,2022-01-01 01:18
357864098056037,532,11.6,41.6,2022-01-01 01:23
357864098056037,527,11.6,41.5,2022-01-01 01:28
357864098056037,528,11.6,41.6,2022-01-01 01:33
357864098056037,527,11.6,41.7,2022-01-01 01:38
357864098056037,529,11.6,41.7,2022-01-01 01:43
357864098056037,529,11.6,41.7,2022-01-01 01:48
357864098056037,527,11.6,41.7,2022-01-01 01:53
357864098056037,526,11.6,41.6,2022-01-01 01:58
357864098056037,527,11.6,41.6,2022-01-01 02:03
357864098056037,526,11.6,41.6,2022-01-01 02:08
357864098056037,526,11.6,41.7,2022-01-01 02:13
357864098056037,524,11.5,41.6,2022-01-01 02:18
357864098056037,526,11.6,41.7,2022-01-01 02:23
357864098056037,525,11.6,41.7,2022-01-01 02:29
357864098056037,525,11.6,41.7,2022-01-01 02:34
357864098056037,524,11.6,41.6,2022-01-01 02:39
357864098056037,525,11.5,41.7,2022-01-01 02:44
357864098056037,527,11.5,41.7,2022-01-01 02:49
357864098056037,526,11.5,41.6,2022-01-01 02:54
357864098056037,525,11.5,41.7,2022-01-01 02:59
357864098056037,526,11.5,41.8,2022-01-01 03:04
357864098056037,524,11.5,41.6,2022-01-01 03:09
357864098056037,523,11.5,41.6,2022-01-01 03:14
357864098056037,524,11.5,41.6,2022-01-01 03:19
357864098056037,524,11.5,41.7,2022-01-01 03:24
357864098056037,525,11.5,41.7,2022-01-01 03:29
357864098056037,525,11.5,41.7,2022-01-01 03:34
357864098056037,525,11.5,41.7,2022-01-01 03:39
357864098056037,522,11.5,41.6,2022-01-01 03:44
357864098056037,525,11.5,41.7,2022-01-01 03:49
357864098056037,522,11.5,41.7,2022-01-01 03:54
357864098056037,524,11.4,41.8,2022-01-01 03:59
357864098056037,525,11.5,41.7,2022-01-01 04:04
357864098056037,523,11.5,41.8,2022-01-01 04:09
357864098056037,524,11.4,41.7,2022-01-01 04:14
357864098056037,522,11.5,41.8,2022-01-01 04:19
357864098056037,524,11.4,41.7,2022-01-01 04:24
357864098056037,523,11.4,41.7,2022-01-01 04:29
357864098056037,522,11.4,41.8,2022-01-01 04:34
357864098056037,524,11.4,41.8,2022-01-01 04:39
357864098056037,525,11.4,41.7,2022-01-01 04:44
357864098056037,523,11.4,41.7,2022-01-01 04:49
357864098056037,521,11.4,41.8,2022-01-01 04:54
357864098056037,521,11.4,41.8,2022-01-01 04:59
357864098056037,518,11.4,41.8,2022-01-01 05:04
357864098056037,517,11.4,41.8,2022-01-01 05:09
357864098056037,520,11.4,41.8,2022-01-01 05:14
357864098056037,520,11.4,41.7,2022-01-01 05:19
357864098056037,521,11.4,41.7,2022-01-01 05:24
357864098056037,522,11.4,41.7,2022-01-01 05:29
357864098056037,520,11.4,41.7,2022-01-01 05:34
357864098056037,517,11.4,41.8,2022-01-01 05:39
357864098056037,519,11.4,41.8,2022-01-01 05:44
357864098056037,519,11.4,41.7,2022-01-01 05:49
357864098056037,520,11.4,41.8,2022-01-01 05:54
357864098056037,520,11.4,41.7,2022-01-01 05:59
357864098056037,521,11.4,41.7,2022-01-01 06:05
357864098056037,521,11.4,41.7,2022-01-01 06:10
357864098056037,521,11.4,41.8,2022-01-01 06:15
357864098056037,519,11.3,41.8,2022-01-01 06:20
357864098056037,518,11.3,41.8,2022-01-01 06:25
357864098056037,516,11.4,41.8,2022-01-01 06:30
357864098056037,517,11.3,41.7,2022-01-01 06:35
